nballs,dtheta_label,seed,timesteps,mean_reward,cycle_length,rho,area,noop_fraction,arm,source,howard_gain_from_summary,howard_L_from_summary,rho_eff,area_eff,mean_reward_eff,cycle_length_eff,howard_gain,howard_L,recovery_pct
4,pi30,2,1000000,0.6441155401510538,24,43.968123196644186,0.3515904669045587,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,77.47933426036731
4,pi30,1,1000000,0.7039973030742079,26,41.87917596328244,0.4370651871464083,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,84.68238842753595
4,pi30,0,1000000,0.5773333826590359,22,44.040843539140624,0.2883989814411859,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,69.44624581518073
4,pi20,9,1000000,1.0322275654381514,16,41.809924178077246,0.3950172446299314,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,83.25312105826087
4,pi20,8,1000000,1.1330403580488335,18,44.41219911543376,0.4592145142795147,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,91.38406030892493
4,pi20,7,1000000,1.0778706171682215,17,44.94608727821609,0.4076839965720602,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,86.93440863319502
4,pi20,6,1000000,1.1125824913455191,18,45.49947902858739,0.4401475637036784,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,89.73405471880892
4,pi20,5,1000000,1.101369244023278,18,45.44217746797598,0.4362609253570614,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,88.82966321829856
4,pi20,4,1000000,1.0738234315227253,19,41.84311280637315,0.487598647197783,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,86.60798755341429
4,pi20,3,1000000,1.1448221214267555,21,41.2192914759592,0.5832527365004254,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,92.33430481471429
4,pi20,2,1000000,1.0989047737104716,19,42.45322117003447,0.4918164069782412,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,88.63089421409214
4,pi20,1,1000000,1.19365780588885,19,41.49977734205145,0.5464968673195064,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,96.27309049203728
3,pi30,8,1000000,0.3219417937993439,45,40.428387541469704,0.3583467360925524,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/N3_dtheta_pi30_factored/summary.csv,,,,,,,0.5394214790584808,35,59.68279097103601
3,pi30,9,1000000,0.4319273733254494,28,35.79859026825611,0.3378335951915049,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/N3_dtheta_pi30_factored/summary.csv,,,,,,,0.5394214790584808,35,80.07233491690872
